,No.,Station Id,Avg. Test Fees,Station Name,Address,City,ZIP,Phone Number,Price,Tax,On the Spot Registration,Registration/Sticker Fee,Service Type,Detailed Information
0,307.0,1443.0,$38,DEKRA SAFETY & EMISSIONS,5983 S 900 E,MURRAY,84121.0,385-474-6424,35,0,Na,Na,TestOnly,Na
1,94.0,934.0,$30,KARL MALONE TOYOTA,11453 S LONE PEAK PKWY,DRAPER,84020.0,801-810-2073,30,0,No,Na,TestAndRepair,Na
2,401.0,1577.0,$46,HAVOLINE XPRESS LUBE,9492 S HIGHLAND DR,SANDY,84092.0,801-816-1966,46,0,No,,TestAndRepair,Na
3,37.0,339.0,$35,AIR VIEW SERVICE,1646 So 1100 E,SALT LAKE CITY,84105.0,801- 484-5807,35,0,Yes,10.76,TestAndRepair,Na
4,46.0,459.0,$33,JERRY SEINER BUICK GMC,10487 So. JORDAN GATEWAY (400 W.),SOUTH JORDAN,84095.0,801- 685-3463,33,0,Yes,7.5,TestAndRepair,Na
5,298.0,1424.0,$33,JERRY SEINER KIA,10301 S JORDAN GATEWAY,SOUTH JORDAN,84095.0,801-495-6800,33,0,Na,Na,TestAndRepair,Na
6,163.0,1146.0,$28,MARKOSIAN AUTO,4238 SO REDWOOD RD,TAYLORSVILLE,84123.0,801-886-1700,35,0,No,Na,TestAndRepair,Na
7,315.0,1458.0,$31,J & A ECONOMIC COMPLETE,7359 SO STATE ST,MIDVALE,84047.0,801-255-3000,30,0,Na,Na,TestAndRepair,Na
8,435.0,4056.0,$40,PETE'S DIESEL,5701 W 700 SO,SALT LAKE CITY,84104.0,801-973-6780,40,0,,,TestAndRepair,Na
9,236.0,1299.0,$33,MET AUTO LLC,62 E GRANITE AVE,SALT LAKE CITY,84115.0,801-463-1155,35,0,No,Na,TestAndRepair,Na
10,154.0,1126.0,$32,SI AUTO REPAIR,3715 S 700 W,SALT LAKE CITY,84119.0,801-747-3284,25,0,Yes,10,TestAndRepair,Na
11,413.0,1589.0,$21,TJ CHAPMAN AUTO,2021 N REDWOOD RD #B,NORTH SALT LAKE,84116.0,801-456-9710,25,0,Yes,10,TestAndRepair,Na
12,233.0,1293.0,$40,BIG O TIRE,178 E SOUTH TEMPLE,SALT LAKE CITY,84111.0,801-519-8241,40,0,No,Na,TestAndRepair,Na
13,44.0,448.0,$35,MILLERS FOREIGN CAR,60 E HARVARD AVE,SALT LAKE CITY,84111.0,801- 364-6792,35,0,No,Na,TestAndRepair,Na
14,26.0,200.0,$30,PAUL'S AUTOMOTIVE,48 EAST 9400 SOUTH,SANDY,84070.0,801- 255-7472,28,0,Yes,10,TestAndRepair,Na
