,No.,Station Id,Avg. Test Fees,Station Name,Address,City,ZIP,Phone Number,Price,Tax,On the Spot Registration,Registration/Sticker Fee,Service Type,Detailed Information
0,376.0,1548.0,$22,CURT'S CAR WASH,9251 S 1300 E,SANDY,84094.0,801-984-0202,29,0,No,,TestOnly,Na
1,309.0,1446.0,$36,DEKRA SAFETY & EMISSIONS,1835 W 9000 S,WEST JORDAN,84088.0,801-987-8223,35,0,Na,Na,TestOnly,Na
2,269.0,1358.0,$45,JIFFY LUBE NO.3442,13955 S BANGERTER PKWY,DRAPER,84020.0,801-553-7051,39,0,No,Na,TestAndRepair,Na
3,12.0,107.0,$25,LARRY'S CAR CARE,2965 S 3600 W,WEST VALLEY,84119.0,801- 973-4007,25,0,Yes,10,TestAndRepair,Na
4,61.0,613.0,$36,LANCER AUTOMOTIVE INC.,3687 SOUTH 300 WEST,SALT LAKE CITY,84115.0,801-268-8863,32,0,Yes,8,TestAndRepair,Na
5,124.0,1047.0,$33,LARRY H MILLER SUPER FORD,1340 S 500 W,SALT LAKE CITY,84115.0,801-783-4473,30,0,Yes,10,TestAndRepair,Na
6,190.0,1210.0,$40,J & S AUTO SERVICE 2 INC,1433 SO MAIN ST,SALT LAKE CITY,84115.0,801-467-1477,40,0,No,Na,TestAndRepair,Na
7,366.0,1535.0,$30,MERCEDES-BENZ OF DRAPER,11548 S LONE PEAK PKWY,DRAPER,84020.0,801-222-4400,31,0,No,,TestAndRepair,Na
8,351.0,1514.0,$30,SWENSONS SAFETY & EMISSIO,134 W 2700 So Unit B,Salt Lake City,84115.0,801-467-6120,30,0,Yes,10,TestAndRepair,Na
9,207.0,1250.0,$31,ALTSTART AUTOMOTIVE,1816 S REDWOOD RD #B,SALT LAKE CITY,84104.0,801-975-0162,35,0,Yes,10,TestAndRepair,Na
10,73.0,748.0,$43,TURN KEY SERVICE,4701 SOUTH 300 WEST,MURRAY,84107.0,801-261-8034,38,0,Yes,0,TestAndRepair,Na
11,209.0,1254.0,$28,JONES COMPLETE CAR CARE,4752 SO REDWOOD RD,TAYLORSVILLE,84123.0,801-963-0500,27.5,0,No,Na,TestAndRepair,Na
12,38.0,362.0,$35,B & R TIRE,2950 SOUTH 300 WEST,SALT LAKE CITY,84115.0,801- 487-7859,35,0,No,0,TestAndRepair,Na
13,168.0,1163.0,$28,FIRESTONE,4031 S HIGHLAND DR,HOLLADAY,84124.0,801-948-9142,27.5,0,No,Na,TestAndRepair,Na
14,305.0,1441.0,$37,TUNEX OF SOUTH JORDAN,1247 W SOUTH JORDAN PKWY,SOUTH JORDAN,84095.0,801-280-4424,37,0,Na,Na,TestAndRepair,Na
15,414.0,1590.0,$35,CERTIFIED AUTOMOTIVE,3361 S WEST TEMPLE,SALT LAKE CITY,84115.0,801-484-0121,35,0,Yes,10,TestAndRepair,Na
16,93.0,931.0,$30,ROCKY MOUNTAIN TIRE and SER,6158 SOUTH STATE,MURRAY,84107.0,801-269-1616,30,0,No,Na,TestAndRepair,Na
17,375.0,1547.0,$34,MPG CAR CARE,9356 S STATE ST,SANDY,84070.0,801-878-4285,35,0,No,,TestAndRepair,Na
18,18.0,140.0,$35,STEVES AUTOMOTIVE SPECIAL,2809 S 2300 E,SALT LAKE CITY,84109.0,801- 466-2886,34.95,0,Yes,10,TestAndRepair,Na
19,137.0,1079.0,$25,MR MUFFLER,105 W. 2100 S.,SALT LAKE CITY,84115.0,801-486-0733,25,0,Yes,10,TestAndRepair,Na
20,160.0,1142.0,$30,EMISSIONS NOW,127 E. GORDON LN. (4190 So.),MURRAY,84107.0,801-261-5492,30,0,No,Na,TestAndRepair,Na
21,220.0,1272.0,$22,TRANSMISSION CITY INC,8324 SO 700 E,SANDY,84070.0,801-565-9990,39.95,0,No,Na,TestAndRepair,Na
22,430.0,4025.0,$40,FREIGHTLINER OF UTAH,2240 S 5370 W,WEST VALLEY CITY,84120.0,801-978-8000,45,0,,,TestAndRepair,Na
23,323.0,1473.0,$27,GUS SHOP,3092 S STATE ST,SALT LAKE CITY,84115.0,801-485-3031,27,0,Na,Na,TestAndRepair,Na
24,127.0,1060.0,$32,M AND K AUTOMOTIVE,970 W. 1700 S.,SALT LAKE CITY,84104.0,801-886-1017,30,0,Yes,10,TestAndRepair,Na
25,1.0,2.0,$25,KEN GARFF MERCEDES BENZ,575 SOUTH STATE,SALT LAKE CITY,84111.0,855-780-1053,25,0,Na,Na,TestAndRepair,Na
26,380.0,1553.0,$37,SUPERIOR AUTO REPAIR,3555 S 700 W #D,SALT LAKE CITY,84119.0,801-486-0905,38,0,Yes,10,TestAndRepair,Na
27,134.0,1075.0,$30,DIAGNOSTIC AUTOMOTIVE,12650 S. 1830 W.,RIVERTON,84065.0,801-253-4641,30,0,No,Na,TestAndRepair,Na
28,80.0,832.0,$32,KEN GARFF WEST VALLEY DODGE,4175 WEST 3500 SOUTH,WEST VALLEY CITY,84120.0,801-955-7448,30,5,No,Na,TestAndRepair,Na
29,421.0,1597.0,$25,EL GARAGE AUTO SERVICE,5419 S 4015 W,TAYLORSVILLE,84129.0,801-836-0288,25,0,No,,TestAndRepair,Na
30,202.0,1240.0,$35,MARK MILLER SUBARU SOUTH,10920 SO STATE ST,SANDY,84070.0,888-791-4530,35,0,No,Na,TestAndRepair,Na
31,429.0,4021.0,$15,RYDER TRUCK RENTAL,3444 W DIRECTORS ROW,SALT LAKE CITY,84104.0,801-887-2200,Na,0,,,TestAndRepair,Na
32,14.0,130.0,$43,PARRY'S SERVICE,14250 SO. 1700 WEST,BLUFFDALE,84065.0,801-254-9971,35,0,No,Na,TestAndRepair,Additional fees depend on vehicle.
33,182.0,1192.0,$43,JIFFY LUBE NO.2026,2102 S MAIN ST,SALT LAKE CITY,84115.0,801-467-1861,39,0,Yes,10,TestAndRepair,Na
34,347.0,1509.0,$30,FAST LUBE PLUS,3669 S REDWOOD RD,WEST VALLEY CITY,84119.0,801-899-9645,35,0,Na,Na,TestAndRepair,Na
35,388.0,1563.0,$75,INTEGRITY FIRST AUTOMOTIV,8020 S 1300 W,WEST JORDAN,84088.0,801-352-0986,75,0,Yes,10,TestAndRepair,Na
36,204.0,1247.0,$26,UNIVERSAL EXHAUST AUTO CARE,402 E 3900 SO,SALT LAKE CITY,84107.0,801-261-3313,30,0,No,Na,TestAndRepair,Na
37,166.0,1157.0,$35,QUICK I M AND AUTO REPAIR,3137 S MAIN A,SALT LAKE CITY,84115.0,801-467-5200,35,0,No,Na,TestAndRepair,Na
38,340.0,1497.0,$30,ADDICTIVE BEHAVIOR MOTORW,454 So 500 W,Salt Lake City,84101.0,801-839-3999,30,0,Na,Na,TestAndRepair,Na
39,390.0,1566.0,$34,MAGNA AUTO & TIRE CENTER,8120 W 3500 S,MAGNA,84044.0,801-432-8201,35,0,Yes,10,TestAndRepair,Na
